brand,model_year,description,fuel,transmission,engine,mileage,price,currency,url,image
Toyota,2016,Toyota Corolla 2016 for sale in Lahore,Petrol,Automatic,1800cc,"116,000 km",4400000,PKR,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-9429728,https://cache3.pakwheels.com/ad_pictures/1154/toyota-corolla-altis-1-8-grande-automatic-2016-115457507.jpg
Daihatsu,2014,Daihatsu Mira 2014 for sale in Karachi,Petrol,Automatic,660cc,"131,103 km",2050000,PKR,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-karachi-10832786,https://cache4.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-10-2014-133235999.jpg
Proton,2022,Proton X70 2022 for sale in Lahore,Petrol,Automatic,1500cc,"55,000 km",6200000,PKR,https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-lahore-10772676,https://cache4.pakwheels.com/ad_pictures/1324/proton-x70-premium-fwd-2022-132407251.jpg
Mercedes Benz,2021,Mercedes Benz E Class 2021 for sale in Lahore,Petrol,Automatic,1500cc,"46,000 km",29800000,PKR,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2021-for-sale-in-lahore-10834667,https://cache4.pakwheels.com/ad_pictures/1332/mercedes-benz-e-class-e-180-amg-2021-133264609.jpg
Toyota,2021,Toyota Yaris Hatchback 2021 for sale in Lahore,Petrol,Automatic,1000cc,"56,000 km",4600000,PKR,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-lahore-10698408,https://cache4.pakwheels.com/ad_pictures/1312/toyota-yaris-hatchback-x-50-2021-131254811.jpg
Nissan,2022,Nissan Dayz 2022 for sale in Islamabad,Hybrid,Automatic,660cc,"11,900 km",3799000,PKR,https://www.pakwheels.com/used-cars/nissan-dayz-2022-for-sale-in-islamabad-10714772,https://cache2.pakwheels.com/ad_pictures/1314/nissan-dayz-highway-star-3-2022-131400310.jpg
Nissan,2023,Nissan Sakura 2023 for sale in Lahore,Electric,Automatic,cc,"6,931 km",4200000,PKR,https://www.pakwheels.com/used-cars/nissan-sakura-2023-for-sale-in-lahore-10777084,https://cache2.pakwheels.com/ad_pictures/1323/nissan-sakura-x-48-2023-132361353.jpg
Mitsubishi,2022,Mitsubishi Ek Wagon 2022 for sale in Islamabad,Petrol,Automatic,660cc,"12,263 km",3599000,PKR,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2022-for-sale-in-islamabad-10714810,https://cache3.pakwheels.com/ad_pictures/1315/mitsubishi-ek-wagon-g-3-2022-131542242.jpg
BYD,2025,BYD Atto 3 2025 for sale in Lahore,Electric,Automatic,cc,"1,000 km",8900000,PKR,https://www.pakwheels.com/used-cars/byd-atto-3-2025-for-sale-in-lahore-10725917,https://cache3.pakwheels.com/ad_pictures/1320/byd-atto-3-advance-2025-132013020.jpg
Hyundai,2005,Hyundai Santro 2005 for sale in Lahore,Petrol,Manual,1000cc,"95,000 km",1220000,PKR,https://www.pakwheels.com/used-cars/hyundai-santro-2005-for-sale-in-lahore-10808314,https://cache4.pakwheels.com/ad_pictures/1328/hyundai-santro-exec-2-2005-132852485.jpg
Suzuki,2006,Suzuki Mehran 2006 for sale in Lahore,Petrol,Manual,800cc,"60,982 km",720000,PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-lahore-10758725,https://cache3.pakwheels.com/ad_pictures/1320/suzuki-mehran-vx-2-2006-132067984.jpg
Toyota,2011,Toyota Prado 2011 for sale in Lahore,Petrol,Automatic,2700cc,"113,000 km",13500000,PKR,https://www.pakwheels.com/used-cars/toyota-prado-2011-for-sale-in-lahore-10829825,https://cache4.pakwheels.com/ad_pictures/1331/toyota-prado-tx-4-2011-133188084.jpg
Audi,2017,Audi A5 2017 for sale in Gujranwala,Petrol,Automatic,1400cc,"60,302 km",14500000,PKR,https://www.pakwheels.com/used-cars/audi-a5-2017-for-sale-in-gujranwala-10702256,https://cache2.pakwheels.com/ad_pictures/1316/audi-a5-sportsback-2017-131636268.jpg
Suzuki,2016,Suzuki Cultus 2016 for sale in Islamabad,Petrol,Manual,1000cc,"62,500 km",1825000,PKR,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-islamabad-10834757,https://cache4.pakwheels.com/ad_pictures/1332/suzuki-cultus-vxri-euro-ii-2016-133266335.jpg
Toyota,2016,Toyota Corolla 2016 for sale in Lahore,Petrol,Automatic,1800cc,"116,000 km",4400000,PKR,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-9429728,https://cache3.pakwheels.com/ad_pictures/1154/toyota-corolla-altis-1-8-grande-automatic-2016-115457507.jpg
Daihatsu,2014,Daihatsu Mira 2014 for sale in Karachi,Petrol,Automatic,660cc,"131,103 km",2050000,PKR,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-karachi-10832786,https://cache4.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-10-2014-133235999.jpg
Proton,2022,Proton X70 2022 for sale in Lahore,Petrol,Automatic,1500cc,"55,000 km",6200000,PKR,https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-lahore-10772676,https://cache4.pakwheels.com/ad_pictures/1324/proton-x70-premium-fwd-2022-132407251.jpg
Toyota,2021,Toyota Yaris Hatchback 2021 for sale in Lahore,Petrol,Automatic,1000cc,"56,000 km",4600000,PKR,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-lahore-10698408,https://cache4.pakwheels.com/ad_pictures/1312/toyota-yaris-hatchback-x-50-2021-131254811.jpg
Suzuki,2021,Suzuki Alto 2021 for sale in Lahore,Petrol,Automatic,660cc,"70,000 km",2690000,PKR,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-10834767,https://cache3.pakwheels.com/ad_pictures/1332/suzuki-alto-vxl-2-2021-133266876.jpg
MG,2021,MG HS 2021 for sale in Lahore,Petrol,Automatic,1500cc,"49,000 km",6375000,PKR,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-10715482,https://cache3.pakwheels.com/ad_pictures/1326/mg-hs-2-trophy-2021-132670907.jpg
Toyota,2017,Toyota Vitz 2017 for sale in Islamabad,Hybrid,Automatic,1500cc,"125,700 km",3985000,PKR,https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-islamabad-10834703,https://cache4.pakwheels.com/ad_pictures/1332/toyota-vitz-hybrid-u-1-5-2017-133265659.jpg
Toyota,2020,Toyota Sienta 2020 for sale in Peshawar,Hybrid,Automatic,1500cc,"52,274 km",6325000,PKR,https://www.pakwheels.com/used-cars/toyota-sienta-2020-for-sale-in-peshawar-10830318,https://cache3.pakwheels.com/ad_pictures/1332/toyota-sienta-x-24-2020-133260350.jpg
Suzuki,2020,Suzuki Wagon R 2020 for sale in Karachi,Petrol,Manual,1000cc,"44,713 km",3000000,PKR,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2020-for-sale-in-karachi-10696735,https://cache1.pakwheels.com/ad_pictures/1311/suzuki-wagon-r-vxl-2020-v-1-131118075.jpg
Toyota,2021,Toyota Aqua 2021 for sale in Lahore,Hybrid,Automatic,1500cc,"44,000 km",6325000,PKR,https://www.pakwheels.com/used-cars/toyota-aqua-2021-for-sale-in-lahore-10802932,https://cache3.pakwheels.com/ad_pictures/1327/toyota-aqua-s-led-soft-leather-selection-2021-132769853.jpg
Toyota,2009,Toyota Vitz 2009 for sale in Karachi,Petrol,Automatic,1000cc,"166,538 km",2080000,PKR,https://www.pakwheels.com/used-cars/toyota-vitz-2009-for-sale-in-karachi-10674803,https://cache3.pakwheels.com/ad_pictures/1307/toyota-vitz-1-0-f-2009-130773920.jpg
Toyota,2021,Toyota Passo 2021 for sale in Islamabad,Petrol,Automatic,1000cc,"185,000 km",4250000,PKR,https://www.pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-islamabad-10831742,https://cache4.pakwheels.com/ad_pictures/1332/toyota-passo-x-s-2-2021-133265619.jpg
Daihatsu,2017,Daihatsu Mira 2017 for sale in Lahore,Petrol,Automatic,660cc,"139,000 km",2785000,PKR,https://www.pakwheels.com/used-cars/daihatsu-mira-2017-for-sale-in-lahore-10834725,https://cache1.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2017-133265528.jpg
Suzuki,2023,Suzuki Swift 2023 for sale in Faisalabad,Petrol,Automatic,1200cc,"36,000 km",4650000,PKR,https://www.pakwheels.com/used-cars/suzuki-swift-2023-for-sale-in-faisalabad-10834726,https://cache1.pakwheels.com/ad_pictures/1332/suzuki-swift-glx-cvt-2023-133265937.jpg
Daihatsu,2017,Daihatsu Copen 2017 for sale in Karachi,Petrol,Automatic,660cc,"54,000 km",3425000,PKR,https://www.pakwheels.com/used-cars/daihatsu-copen-2017-for-sale-in-karachi-10793286,https://cache2.pakwheels.com/ad_pictures/1326/daihatsu-copen-robe-s-2017-132618939.jpg
Honda,2013,Honda City 2013 for sale in Lahore,Petrol,Automatic,1300cc,"166,180 km",2800000,PKR,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-lahore-10815800,https://cache3.pakwheels.com/ad_pictures/1329/honda-city-aspire-1-3-i-vtec-prosmatec-2013-132972168.jpg
Honda,2017,Honda Civic 2017 for sale in Faisalabad,Petrol,Automatic,1800cc,"65,000 km",5490000,PKR,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-faisalabad-10834638,https://cache3.pakwheels.com/ad_pictures/1332/honda-civic-oriel-1-8-i-vtec-cvt-2017-133264354.jpg
Daihatsu,2020,Daihatsu Rocky 2020 for sale in Lahore,Petrol,Automatic,1000cc,"35,391 km",5480000,PKR,https://www.pakwheels.com/used-cars/daihatsu-rocky-2020-for-sale-in-lahore-10795364,https://cache4.pakwheels.com/ad_pictures/1326/daihatsu-rocky-g-59-2020-132652351.jpg
Honda,2024,Honda Civic 2024 for sale in Gujranwala,Petrol,Automatic,1500cc,"19,817 km",9600000,PKR,https://www.pakwheels.com/used-cars/honda-civic-2024-for-sale-in-gujranwala-10791334,https://cache4.pakwheels.com/ad_pictures/1325/honda-civic-civic-rs-2024-132589706.jpg
Toyota,2015,Toyota Camry 2015 for sale in Gujranwala,Hybrid,Automatic,2500cc,"95,454 km",8500000,PKR,https://www.pakwheels.com/used-cars/toyota-camry-2015-for-sale-in-gujranwala-10791355,https://cache4.pakwheels.com/ad_pictures/1325/toyota-camry-hybrid-2-2015-132590033.jpg
